iter	Passed	Remaining
0	1	1414
1	2	1232
2	4	1408
3	5	1330
4	6	1243
5	7	1250
6	8	1273
7	11	1410
8	13	1491
9	15	1499
10	15	1431
11	16	1369
12	17	1316
13	18	1270
14	18	1230
15	19	1196
16	20	1162
17	20	1135
18	21	1110
19	23	1136
20	24	1154
21	25	1139
22	26	1132
23	27	1118
24	28	1124
25	29	1118
26	31	1121
27	32	1142
28	33	1121
29	34	1125
30	35	1118
31	37	1123
32	38	1134
33	40	1154
34	41	1154
35	42	1141
36	43	1127
37	44	1115
38	45	1114
39	47	1129
40	48	1130
41	49	1128
42	51	1148
43	52	1146
44	53	1135
45	54	1124
46	55	1122
47	56	1130
48	57	1122
49	59	1126
50	60	1121
51	61	1120
52	62	1115
53	63	1117
54	64	1115
55	66	1124
56	68	1136
57	69	1132
58	71	1136
59	72	1132
60	73	1133
61	74	1127
62	75	1126
63	77	1132
64	79	1139
65	80	1139
66	81	1140
67	82	1134
68	83	1132
69	84	1127
70	86	1129
71	87	1124
72	88	1128
73	90	1126
74	91	1122
75	92	1120
76	93	1120
77	95	1123
78	96	1119
79	98	1127
80	98	1122
81	99	1119
82	100	1114
83	102	1113
84	109	1182
85	111	1180
86	112	1176
87	113	1172
88	114	1167
89	115	1165
90	116	1164
91	117	1161
92	118	1156
93	119	1155
94	120	1151
95	123	1160
96	124	1158
97	125	1155
98	127	1157
99	128	1155
100	129	1156
101	130	1152
102	132	1150
103	133	1147
104	135	1151
105	136	1150
106	137	1148
107	139	1149
108	140	1147
109	141	1148
110	143	1149
111	144	1146
112	146	1146
113	147	1146
114	148	1143
115	149	1140
116	150	1138
117	153	1143
118	154	1144
119	156	1144
120	157	1141
121	158	1141
122	159	1138
123	161	1137
124	162	1139
125	164	1142
126	166	1141
127	167	1138
128	168	1137
129	169	1134
130	170	1133
131	172	1132
132	173	1127
133	174	1126
134	175	1122
135	176	1120
136	177	1116
137	178	1114
138	179	1110
139	180	1105
140	180	1100
141	181	1097
142	182	1093
143	183	1089
144	183	1084
145	184	1079
146	185	1075
147	186	1072
148	187	1068
149	187	1064
150	188	1059
151	189	1056
152	190	1052
153	190	1048
154	191	1044
155	192	1039
156	192	1035
157	193	1031
158	194	1027
159	194	1022
160	195	1018
161	196	1015
162	197	1014
163	198	1009
164	199	1007
165	199	1004
166	200	1001
167	202	1000
168	202	996
169	203	992
170	204	989
171	204	985
172	205	982
173	206	978
174	206	974
175	207	971
176	208	967
177	209	965
178	209	962
179	210	958
180	211	955
181	212	952
182	212	950
